Reaction,role,metabolite
R00623,substrate,C00226
R00623,substrate,C00003
R00623,product,C00071
R00623,product,C00004
R00623,product,C00080
R00623  PRIMARY_ALCOHOL:NAD+ OXIDOREDUCTASE,substrate,C00226
R00623  PRIMARY_ALCOHOL:NAD+ OXIDOREDUCTASE,substrate,C00003
R00623  PRIMARY_ALCOHOL:NAD+ OXIDOREDUCTASE,product,C00071
R00623  PRIMARY_ALCOHOL:NAD+ OXIDOREDUCTASE,product,C00004
R00623  PRIMARY_ALCOHOL:NAD+ OXIDOREDUCTASE,product,C00080
R00754,substrate,C00469
R00754,substrate,C00003
R00754,product,C00084
R00754,product,C00004
R00754,product,C00080
R00754  ETHANOL:NAD+ OXIDOREDUCTASE,substrate,C00469
R00754  ETHANOL:NAD+ OXIDOREDUCTASE,substrate,C00003
R00754  ETHANOL:NAD+ OXIDOREDUCTASE,product,C00084
R00754  ETHANOL:NAD+ OXIDOREDUCTASE,product,C00004
R00754  ETHANOL:NAD+ OXIDOREDUCTASE,product,C00080
R02124,substrate,C00473
R02124,substrate,C00003
R02124,product,C00376
R02124,product,C00004
R02124,product,C00080
R02124  RETINOL:NAD+ OXIDOREDUCTASE,substrate,C00473
R02124  RETINOL:NAD+ OXIDOREDUCTASE,substrate,C00003
R02124  RETINOL:NAD+ OXIDOREDUCTASE,product,C00376
R02124  RETINOL:NAD+ OXIDOREDUCTASE,product,C00004
R02124  RETINOL:NAD+ OXIDOREDUCTASE,product,C00080
R04805,substrate,C05444
R04805,substrate,C00003
R04805,product,C05445
R04805,product,C00004
R04805,product,C00080
R04880,substrate,C05576
R04880,substrate,C00003
R04880,product,C05577
R04880,product,C00004
R04880,product,C00080
"R04880  3,4-DIHYDROXYPHENYLETHYLENEGLYCOL:NAD+ OXIDOREDUCTASE",substrate,C05576
"R04880  3,4-DIHYDROXYPHENYLETHYLENEGLYCOL:NAD+ OXIDOREDUCTASE",substrate,C00003
"R04880  3,4-DIHYDROXYPHENYLETHYLENEGLYCOL:NAD+ OXIDOREDUCTASE",product,C05577
"R04880  3,4-DIHYDROXYPHENYLETHYLENEGLYCOL:NAD+ OXIDOREDUCTASE",product,C00004
"R04880  3,4-DIHYDROXYPHENYLETHYLENEGLYCOL:NAD+ OXIDOREDUCTASE",product,C00080
R05233,substrate,C06611
R05233,substrate,C00003
R05233,product,C06613
R05233,product,C00004
R05233,product,C00080
R05233  TRANS-3-CHLORO-2-PROPENE-1-OL:NAD+ OXIDOREDUCTASE,substrate,C06611
R05233  TRANS-3-CHLORO-2-PROPENE-1-OL:NAD+ OXIDOREDUCTASE,substrate,C00003
R05233  TRANS-3-CHLORO-2-PROPENE-1-OL:NAD+ OXIDOREDUCTASE,product,C06613
R05233  TRANS-3-CHLORO-2-PROPENE-1-OL:NAD+ OXIDOREDUCTASE,product,C00004
R05233  TRANS-3-CHLORO-2-PROPENE-1-OL:NAD+ OXIDOREDUCTASE,product,C00080
R05234,substrate,C06612
R05234,substrate,C00003
R05234,product,C16348
R05234,product,C00004
R05234,product,C00080
R05234  CIS-3-CHLORO-2-PROPENE-1-OL:NAD+ OXIDOREDUCTASE,substrate,C06612
R05234  CIS-3-CHLORO-2-PROPENE-1-OL:NAD+ OXIDOREDUCTASE,substrate,C00003
R05234  CIS-3-CHLORO-2-PROPENE-1-OL:NAD+ OXIDOREDUCTASE,product,C16348
R05234  CIS-3-CHLORO-2-PROPENE-1-OL:NAD+ OXIDOREDUCTASE,product,C00004
R05234  CIS-3-CHLORO-2-PROPENE-1-OL:NAD+ OXIDOREDUCTASE,product,C00080
R06917,substrate,C14089
R06917,substrate,C00003
R06917,product,C14090
R06917,product,C00004
R06917,product,C00080
R06917  1-HYDROXYMETHYLNAPHTHALENE:NAD+ OXIDOREDUCTASE,substrate,C14089
R06917  1-HYDROXYMETHYLNAPHTHALENE:NAD+ OXIDOREDUCTASE,substrate,C00003
R06917  1-HYDROXYMETHYLNAPHTHALENE:NAD+ OXIDOREDUCTASE,product,C14090
R06917  1-HYDROXYMETHYLNAPHTHALENE:NAD+ OXIDOREDUCTASE,product,C00004
R06917  1-HYDROXYMETHYLNAPHTHALENE:NAD+ OXIDOREDUCTASE,product,C00080
R06927,substrate,C02909
R06927,substrate,C00003
R06927,product,C14099
R06927,product,C00004
R06927,product,C00080
R06927  (2-NAPHTHYL)METHANOL:NAD+ OXIDOREDUCTASE,substrate,C02909
R06927  (2-NAPHTHYL)METHANOL:NAD+ OXIDOREDUCTASE,substrate,C00003
R06927  (2-NAPHTHYL)METHANOL:NAD+ OXIDOREDUCTASE,product,C14099
R06927  (2-NAPHTHYL)METHANOL:NAD+ OXIDOREDUCTASE,product,C00004
R06927  (2-NAPHTHYL)METHANOL:NAD+ OXIDOREDUCTASE,product,C00080
R07105,substrate,C06899
R07105,substrate,C00004
R07105,substrate,C00080
R07105,product,C07490
R07105,product,C00003
R07105,product,C00001
R07105  TRICHLOROETHANOL:NAD+ OXIDOREDUCTASE,substrate,C06899
R07105  TRICHLOROETHANOL:NAD+ OXIDOREDUCTASE,substrate,C00004
R07105  TRICHLOROETHANOL:NAD+ OXIDOREDUCTASE,substrate,C00080
R07105  TRICHLOROETHANOL:NAD+ OXIDOREDUCTASE,product,C07490
R07105  TRICHLOROETHANOL:NAD+ OXIDOREDUCTASE,product,C00003
R07105  TRICHLOROETHANOL:NAD+ OXIDOREDUCTASE,product,C00001
R08281,substrate,C07645
R08281,substrate,C00004
R08281,substrate,C00080
R08281,product,C16551
R08281,product,C00003
R08281  ALCOPHOSPHAMIDE:NAD+ OXIDOREDUCTASE,substrate,C07645
R08281  ALCOPHOSPHAMIDE:NAD+ OXIDOREDUCTASE,substrate,C00004
R08281  ALCOPHOSPHAMIDE:NAD+ OXIDOREDUCTASE,substrate,C00080
R08281  ALCOPHOSPHAMIDE:NAD+ OXIDOREDUCTASE,product,C16551
R08281  ALCOPHOSPHAMIDE:NAD+ OXIDOREDUCTASE,product,C00003
R08306,substrate,C16586
R08306,substrate,C00003
R08306,product,C16587
R08306,product,C00004
R08306,product,C00080
"R08306  2-PHENYL-1,3-PROPANEDIOL MONOCARBAMATE:NAD+ OXIDOREDUCTASE",substrate,C16586
"R08306  2-PHENYL-1,3-PROPANEDIOL MONOCARBAMATE:NAD+ OXIDOREDUCTASE",substrate,C00003
"R08306  2-PHENYL-1,3-PROPANEDIOL MONOCARBAMATE:NAD+ OXIDOREDUCTASE",product,C16587
"R08306  2-PHENYL-1,3-PROPANEDIOL MONOCARBAMATE:NAD+ OXIDOREDUCTASE",product,C00004
"R08306  2-PHENYL-1,3-PROPANEDIOL MONOCARBAMATE:NAD+ OXIDOREDUCTASE",product,C00080
R08310,substrate,C16595
R08310,substrate,C00003
R08310,product,C16596
R08310,product,C00004
R08310,product,C00080
"R08310  4-HYDROXY-5-PHENYLTETRAHYDRO-1,3-OXAZIN-2-ONE:NAD+ OXIDOREDUCTASE",substrate,C16595
"R08310  4-HYDROXY-5-PHENYLTETRAHYDRO-1,3-OXAZIN-2-ONE:NAD+ OXIDOREDUCTASE",substrate,C00003
"R08310  4-HYDROXY-5-PHENYLTETRAHYDRO-1,3-OXAZIN-2-ONE:NAD+ OXIDOREDUCTASE",product,C16596
"R08310  4-HYDROXY-5-PHENYLTETRAHYDRO-1,3-OXAZIN-2-ONE:NAD+ OXIDOREDUCTASE",product,C00004
"R08310  4-HYDROXY-5-PHENYLTETRAHYDRO-1,3-OXAZIN-2-ONE:NAD+ OXIDOREDUCTASE",product,C00080
R01773,substrate,C00263
R01773,substrate,C00003
R01773,product,C00441
R01773,product,C00004
R01773,product,C00080
R01773  L-HOMOSERINE:NAD+ OXIDOREDUCTASE,substrate,C00263
R01773  L-HOMOSERINE:NAD+ OXIDOREDUCTASE,substrate,C00003
R01773  L-HOMOSERINE:NAD+ OXIDOREDUCTASE,product,C00441
R01773  L-HOMOSERINE:NAD+ OXIDOREDUCTASE,product,C00004
R01773  L-HOMOSERINE:NAD+ OXIDOREDUCTASE,product,C00080
R01775,substrate,C00263
R01775,substrate,C00006
R01775,product,C00441
R01775,product,C00005
R01775,product,C00080
R01775  L-HOMOSERINE:NADP+ OXIDOREDUCTASE,substrate,C00263
R01775  L-HOMOSERINE:NADP+ OXIDOREDUCTASE,substrate,C00006
R01775  L-HOMOSERINE:NADP+ OXIDOREDUCTASE,product,C00441
R01775  L-HOMOSERINE:NADP+ OXIDOREDUCTASE,product,C00005
R01775  L-HOMOSERINE:NADP+ OXIDOREDUCTASE,product,C00080
R02855,substrate,C00810
R02855,substrate,C00003
R02855,product,C00741
R02855,product,C00004
R02855,product,C00080
R02855  (R)-ACETOIN:NAD+ OXIDOREDUCTASE,substrate,C00810
R02855  (R)-ACETOIN:NAD+ OXIDOREDUCTASE,substrate,C00003
R02855  (R)-ACETOIN:NAD+ OXIDOREDUCTASE,product,C00741
R02855  (R)-ACETOIN:NAD+ OXIDOREDUCTASE,product,C00004
R02855  (R)-ACETOIN:NAD+ OXIDOREDUCTASE,product,C00080
R02946,substrate,C03044
R02946,substrate,C00003
R02946,product,C00810
R02946,product,C00004
R02946,product,C00080
"R02946  (R,R)-BUTANE-2,3-DIOL:NAD+ OXIDOREDUCTASE",substrate,C03044
"R02946  (R,R)-BUTANE-2,3-DIOL:NAD+ OXIDOREDUCTASE",substrate,C00003
"R02946  (R,R)-BUTANE-2,3-DIOL:NAD+ OXIDOREDUCTASE",product,C00810
"R02946  (R,R)-BUTANE-2,3-DIOL:NAD+ OXIDOREDUCTASE",product,C00004
"R02946  (R,R)-BUTANE-2,3-DIOL:NAD+ OXIDOREDUCTASE",product,C00080
R10504,substrate,C20657
R10504,substrate,C00003
R10504,product,C01769
R10504,product,C00004
R10504,product,C00080
"R10504  MESO-2,3-BUTANEDIOL:NAD+ OXIDOREDUCTASE [(S)-ACETOIN FORMING]",substrate,C20657
"R10504  MESO-2,3-BUTANEDIOL:NAD+ OXIDOREDUCTASE [(S)-ACETOIN FORMING]",substrate,C00003
"R10504  MESO-2,3-BUTANEDIOL:NAD+ OXIDOREDUCTASE [(S)-ACETOIN FORMING]",product,C01769
"R10504  MESO-2,3-BUTANEDIOL:NAD+ OXIDOREDUCTASE [(S)-ACETOIN FORMING]",product,C00004
"R10504  MESO-2,3-BUTANEDIOL:NAD+ OXIDOREDUCTASE [(S)-ACETOIN FORMING]",product,C00080
R01034,substrate,C00116
R01034,substrate,C00003
R01034,product,C00184
R01034,product,C00004
R01034,product,C00080
R01034  GLYCEROL:NAD+ 2-OXIDOREDUCTASE,substrate,C00116
R01034  GLYCEROL:NAD+ 2-OXIDOREDUCTASE,substrate,C00003
R01034  GLYCEROL:NAD+ 2-OXIDOREDUCTASE,product,C00184
R01034  GLYCEROL:NAD+ 2-OXIDOREDUCTASE,product,C00004
R01034  GLYCEROL:NAD+ 2-OXIDOREDUCTASE,product,C00080
R10715,substrate,C00424
R10715,substrate,C00003
R10715,product,C00546
R10715,product,C00004
R10715,product,C00080
R10717,substrate,C00583
R10717,substrate,C00003
R10717,product,C05235
R10717,product,C00004
R10717,product,C00080
"R10717  PROPANE-1,2-DIOL:NAD+ 2-OXIDOREDUCTASE",substrate,C00583
"R10717  PROPANE-1,2-DIOL:NAD+ 2-OXIDOREDUCTASE",substrate,C00003
"R10717  PROPANE-1,2-DIOL:NAD+ 2-OXIDOREDUCTASE",product,C05235
"R10717  PROPANE-1,2-DIOL:NAD+ 2-OXIDOREDUCTASE",product,C00004
"R10717  PROPANE-1,2-DIOL:NAD+ 2-OXIDOREDUCTASE",product,C00080
R00868,substrate,C00392
R00868,substrate,C00003
R00868,product,C00095
R00868,product,C00004
R00868,product,C00080
R00868  D-MANNITOL:NAD+ 2-OXIDOREDUCTASE,substrate,C00392
R00868  D-MANNITOL:NAD+ 2-OXIDOREDUCTASE,substrate,C00003
R00868  D-MANNITOL:NAD+ 2-OXIDOREDUCTASE,product,C00095
R00868  D-MANNITOL:NAD+ 2-OXIDOREDUCTASE,product,C00004
R00868  D-MANNITOL:NAD+ 2-OXIDOREDUCTASE,product,C00080
R05604,substrate,C01904
R05604,substrate,C00003
R05604,product,C00310
R05604,product,C00004
R05604,product,C00080
R05604  D-ARABINITOL:NAD 4-OXIDOREDUCTASE,substrate,C01904
R05604  D-ARABINITOL:NAD 4-OXIDOREDUCTASE,substrate,C00003
R05604  D-ARABINITOL:NAD 4-OXIDOREDUCTASE,product,C00310
R05604  D-ARABINITOL:NAD 4-OXIDOREDUCTASE,product,C00004
R05604  D-ARABINITOL:NAD 4-OXIDOREDUCTASE,product,C00080
R00875,substrate,C00794
R00875,substrate,C00003
R00875,product,C00095
R00875,product,C00004
R00875,product,C00080
R00875  D-GLUCITOL:NAD+ 2-OXIDOREDUCTASE,substrate,C00794
R00875  D-GLUCITOL:NAD+ 2-OXIDOREDUCTASE,substrate,C00003
R00875  D-GLUCITOL:NAD+ 2-OXIDOREDUCTASE,product,C00095
R00875  D-GLUCITOL:NAD+ 2-OXIDOREDUCTASE,product,C00004
R00875  D-GLUCITOL:NAD+ 2-OXIDOREDUCTASE,product,C00080
R01896,substrate,C00379
R01896,substrate,C00003
R01896,product,C00310
R01896,product,C00004
R01896,product,C00080
R01896  XYLITOL:NAD+ 2-OXIDOREDUCTASE (D-XYLULOSE-FORMING),substrate,C00379
R01896  XYLITOL:NAD+ 2-OXIDOREDUCTASE (D-XYLULOSE-FORMING),substrate,C00003
R01896  XYLITOL:NAD+ 2-OXIDOREDUCTASE (D-XYLULOSE-FORMING),product,C00310
R01896  XYLITOL:NAD+ 2-OXIDOREDUCTASE (D-XYLULOSE-FORMING),product,C00004
R01896  XYLITOL:NAD+ 2-OXIDOREDUCTASE (D-XYLULOSE-FORMING),product,C00080
R00758,substrate,C00644
R00758,substrate,C00003
R00758,product,C00085
R00758,product,C00004
R00758,product,C00080
R00758  D-MANNITOL-1-PHOSPHATE:NAD+ 5-OXIDOREDUCTASE,substrate,C00644
R00758  D-MANNITOL-1-PHOSPHATE:NAD+ 5-OXIDOREDUCTASE,substrate,C00003
R00758  D-MANNITOL-1-PHOSPHATE:NAD+ 5-OXIDOREDUCTASE,product,C00085
R00758  D-MANNITOL-1-PHOSPHATE:NAD+ 5-OXIDOREDUCTASE,product,C00004
R00758  D-MANNITOL-1-PHOSPHATE:NAD+ 5-OXIDOREDUCTASE,product,C00080
R02703,substrate,C00644
R02703,substrate,C00003
R02703,product,C05345
R02703,product,C00004
R02703,product,C00080
R02703  D-MANNITOL-1-PHOSPHATE:NAD+ 5-OXIDOREDUCTASE,substrate,C00644
R02703  D-MANNITOL-1-PHOSPHATE:NAD+ 5-OXIDOREDUCTASE,substrate,C00003
R02703  D-MANNITOL-1-PHOSPHATE:NAD+ 5-OXIDOREDUCTASE,product,C05345
R02703  D-MANNITOL-1-PHOSPHATE:NAD+ 5-OXIDOREDUCTASE,product,C00004
R02703  D-MANNITOL-1-PHOSPHATE:NAD+ 5-OXIDOREDUCTASE,product,C00080
R01183,substrate,C00137
R01183,substrate,C00003
R01183,product,C00691
R01183,product,C00004
R01183,product,C00080
R01183  MYO-INOSITOL:NAD+ 2-OXIDOREDUCTASE,substrate,C00137
R01183  MYO-INOSITOL:NAD+ 2-OXIDOREDUCTASE,substrate,C00003
R01183  MYO-INOSITOL:NAD+ 2-OXIDOREDUCTASE,product,C00691
R01183  MYO-INOSITOL:NAD+ 2-OXIDOREDUCTASE,product,C00004
R01183  MYO-INOSITOL:NAD+ 2-OXIDOREDUCTASE,product,C00080
R09951,substrate,C19891
R09951,substrate,C00003
R09951,product,C20251
R09951,product,C00004
R09951,product,C00080
R09951  1D-CHIRO-INOSITOL:NAD+ OXIDOREDUCTASE,substrate,C19891
R09951  1D-CHIRO-INOSITOL:NAD+ OXIDOREDUCTASE,substrate,C00003
R09951  1D-CHIRO-INOSITOL:NAD+ OXIDOREDUCTASE,product,C20251
R09951  1D-CHIRO-INOSITOL:NAD+ OXIDOREDUCTASE,product,C00004
R09951  1D-CHIRO-INOSITOL:NAD+ OXIDOREDUCTASE,product,C00080
R00286,substrate,C00029
R00286,substrate,C00001
R00286,substrate,C00003
R00286,product,C00167
R00286,product,C00004
R00286,product,C00080
R00286  UDP-GLUCOSE:NAD+ 6-OXIDOREDUCTASE,substrate,C00029
R00286  UDP-GLUCOSE:NAD+ 6-OXIDOREDUCTASE,substrate,C00001
R00286  UDP-GLUCOSE:NAD+ 6-OXIDOREDUCTASE,substrate,C00003
R00286  UDP-GLUCOSE:NAD+ 6-OXIDOREDUCTASE,product,C00167
R00286  UDP-GLUCOSE:NAD+ 6-OXIDOREDUCTASE,product,C00004
R00286  UDP-GLUCOSE:NAD+ 6-OXIDOREDUCTASE,product,C00080
R01158,substrate,C00860
R01158,substrate,C00003
R01158,substrate,C00001
R01158,product,C00135
R01158,product,C00004
R01158,product,C00080
R01158  L-HISTIDINOL:NAD+ OXIDOREDUCTASE,substrate,C00860
R01158  L-HISTIDINOL:NAD+ OXIDOREDUCTASE,substrate,C00003
R01158  L-HISTIDINOL:NAD+ OXIDOREDUCTASE,substrate,C00001
R01158  L-HISTIDINOL:NAD+ OXIDOREDUCTASE,product,C00135
R01158  L-HISTIDINOL:NAD+ OXIDOREDUCTASE,product,C00004
R01158  L-HISTIDINOL:NAD+ OXIDOREDUCTASE,product,C00080
R01163,substrate,C01929
R01163,substrate,C00001
R01163,substrate,C00003
R01163,product,C00135
R01163,product,C00004
R01163,product,C00080
R01163  L-HISTIDINAL:NAD+ OXIDOREDUCTASE,substrate,C01929
R01163  L-HISTIDINAL:NAD+ OXIDOREDUCTASE,substrate,C00001
R01163  L-HISTIDINAL:NAD+ OXIDOREDUCTASE,substrate,C00003
R01163  L-HISTIDINAL:NAD+ OXIDOREDUCTASE,product,C00135
R01163  L-HISTIDINAL:NAD+ OXIDOREDUCTASE,product,C00004
R01163  L-HISTIDINAL:NAD+ OXIDOREDUCTASE,product,C00080
R03012,substrate,C00860
R03012,substrate,C00003
R03012,product,C01929
R03012,product,C00004
R03012,product,C00080
R03012  L-HISTIDINOL:NAD+ OXIDOREDUCTASE,substrate,C00860
R03012  L-HISTIDINOL:NAD+ OXIDOREDUCTASE,substrate,C00003
R03012  L-HISTIDINOL:NAD+ OXIDOREDUCTASE,product,C01929
R03012  L-HISTIDINOL:NAD+ OXIDOREDUCTASE,product,C00004
R03012  L-HISTIDINOL:NAD+ OXIDOREDUCTASE,product,C00080
R02413,substrate,C00493
R02413,substrate,C00006
R02413,product,C02637
R02413,product,C00005
R02413,product,C00080
R02413  SHIKIMATE:NADP+ 3-OXIDOREDUCTASE,substrate,C00493
R02413  SHIKIMATE:NADP+ 3-OXIDOREDUCTASE,substrate,C00006
R02413  SHIKIMATE:NADP+ 3-OXIDOREDUCTASE,product,C02637
R02413  SHIKIMATE:NADP+ 3-OXIDOREDUCTASE,product,C00005
R02413  SHIKIMATE:NADP+ 3-OXIDOREDUCTASE,product,C00080
R12885,substrate,C02637
R12885,substrate,C00006
R12885,product,C22438
R12885,product,C00005
R12885,product,C00080
R00703,substrate,C00186
R00703,substrate,C00003
R00703,product,C00022
R00703,product,C00004
R00703,product,C00080
R00703  (S)-LACTATE:NAD+ OXIDOREDUCTASE,substrate,C00186
R00703  (S)-LACTATE:NAD+ OXIDOREDUCTASE,substrate,C00003
R00703  (S)-LACTATE:NAD+ OXIDOREDUCTASE,product,C00022
R00703  (S)-LACTATE:NAD+ OXIDOREDUCTASE,product,C00004
R00703  (S)-LACTATE:NAD+ OXIDOREDUCTASE,product,C00080
R01000,substrate,C05984
R01000,substrate,C00003
R01000,product,C00109
R01000,product,C00004
R01000,product,C00080
R01000  2-HYDROXYBUTYRATE:NAD+ OXIDOREDUCTASE,substrate,C05984
R01000  2-HYDROXYBUTYRATE:NAD+ OXIDOREDUCTASE,substrate,C00003
R01000  2-HYDROXYBUTYRATE:NAD+ OXIDOREDUCTASE,product,C00109
R01000  2-HYDROXYBUTYRATE:NAD+ OXIDOREDUCTASE,product,C00004
R01000  2-HYDROXYBUTYRATE:NAD+ OXIDOREDUCTASE,product,C00080
R03104,substrate,C05823
R03104,substrate,C00003
R03104,product,C00957
R03104,product,C00004
R03104,product,C00080
R03104  3-MERCAPTOLACTATE:NAD+ OXIDOREDUCTASE,substrate,C05823
R03104  3-MERCAPTOLACTATE:NAD+ OXIDOREDUCTASE,substrate,C00003
R03104  3-MERCAPTOLACTATE:NAD+ OXIDOREDUCTASE,product,C00957
R03104  3-MERCAPTOLACTATE:NAD+ OXIDOREDUCTASE,product,C00004
R03104  3-MERCAPTOLACTATE:NAD+ OXIDOREDUCTASE,product,C00080
R00717,substrate,C00160
R00717,substrate,C00003
R00717,product,C00048
R00717,product,C00004
R00717,product,C00080
R00717  GLYCOLATE:NAD+ OXIDOREDUCTASE,substrate,C00160
R00717  GLYCOLATE:NAD+ OXIDOREDUCTASE,substrate,C00003
R00717  GLYCOLATE:NAD+ OXIDOREDUCTASE,product,C00048
R00717  GLYCOLATE:NAD+ OXIDOREDUCTASE,product,C00004
R00717  GLYCOLATE:NAD+ OXIDOREDUCTASE,product,C00080
R01388,substrate,C00258
R01388,substrate,C00003
R01388,product,C00168
R01388,product,C00004
R01388,product,C00080
R01388  D-GLYCERATE:NAD+ 2-OXIDOREDUCTASE,substrate,C00258
R01388  D-GLYCERATE:NAD+ 2-OXIDOREDUCTASE,substrate,C00003
R01388  D-GLYCERATE:NAD+ 2-OXIDOREDUCTASE,product,C00168
R01388  D-GLYCERATE:NAD+ 2-OXIDOREDUCTASE,product,C00004
R01388  D-GLYCERATE:NAD+ 2-OXIDOREDUCTASE,product,C00080
R01779,substrate,C01086
R01779,substrate,C00006
R01779,product,C00264
R01779,product,C00005
R01779,product,C00080
R01779  (3R)-3-HYDROXYACYL-COA:NADP+ OXIDOREDUCTASE,substrate,C01086
R01779  (3R)-3-HYDROXYACYL-COA:NADP+ OXIDOREDUCTASE,substrate,C00006
R01779  (3R)-3-HYDROXYACYL-COA:NADP+ OXIDOREDUCTASE,product,C00264
R01779  (3R)-3-HYDROXYACYL-COA:NADP+ OXIDOREDUCTASE,product,C00005
R01779  (3R)-3-HYDROXYACYL-COA:NADP+ OXIDOREDUCTASE,product,C00080
R01977,substrate,C03561
R01977,substrate,C00006
R01977,product,C00332
R01977,product,C00005
R01977,product,C00080
R01977  (R)-3-HYDROXYBUTANOYL-COA:NADP+ OXIDOREDUCTASE,substrate,C03561
R01977  (R)-3-HYDROXYBUTANOYL-COA:NADP+ OXIDOREDUCTASE,substrate,C00006
R01977  (R)-3-HYDROXYBUTANOYL-COA:NADP+ OXIDOREDUCTASE,product,C00332
R01977  (R)-3-HYDROXYBUTANOYL-COA:NADP+ OXIDOREDUCTASE,product,C00005
R01977  (R)-3-HYDROXYBUTANOYL-COA:NADP+ OXIDOREDUCTASE,product,C00080
R00342,substrate,C00149
R00342,substrate,C00003
R00342,product,C00036
R00342,product,C00004
R00342,product,C00080
R00342  (S)-MALATE:NAD+ OXIDOREDUCTASE,substrate,C00149
R00342  (S)-MALATE:NAD+ OXIDOREDUCTASE,substrate,C00003
R00342  (S)-MALATE:NAD+ OXIDOREDUCTASE,product,C00036
R00342  (S)-MALATE:NAD+ OXIDOREDUCTASE,product,C00004
R00342  (S)-MALATE:NAD+ OXIDOREDUCTASE,product,C00080
R07136,substrate,C11537
R07136,substrate,C00003
R07136,product,C05528
R07136,product,C00004
R07136,product,C00080
R07136  (2R)-3-SULFOLACTATE:NAD+ OXIDOREDUCTASE,substrate,C11537
R07136  (2R)-3-SULFOLACTATE:NAD+ OXIDOREDUCTASE,substrate,C00003
R07136  (2R)-3-SULFOLACTATE:NAD+ OXIDOREDUCTASE,product,C05528
R07136  (2R)-3-SULFOLACTATE:NAD+ OXIDOREDUCTASE,product,C00004
R07136  (2R)-3-SULFOLACTATE:NAD+ OXIDOREDUCTASE,product,C00080
R00214,substrate,C00149
R00214,substrate,C00003
R00214,product,C00022
R00214,product,C00011
R00214,product,C00004
R00214,product,C00080
R00214  (S)-MALATE:NAD+ OXIDOREDUCTASE (DECARBOXYLATING),substrate,C00149
R00214  (S)-MALATE:NAD+ OXIDOREDUCTASE (DECARBOXYLATING),substrate,C00003
R00214  (S)-MALATE:NAD+ OXIDOREDUCTASE (DECARBOXYLATING),product,C00022
R00214  (S)-MALATE:NAD+ OXIDOREDUCTASE (DECARBOXYLATING),product,C00011
R00214  (S)-MALATE:NAD+ OXIDOREDUCTASE (DECARBOXYLATING),product,C00004
R00214  (S)-MALATE:NAD+ OXIDOREDUCTASE (DECARBOXYLATING),product,C00080
R00216,substrate,C00149
R00216,substrate,C00006
R00216,product,C00022
R00216,product,C00011
R00216,product,C00005
R00216,product,C00080
R00216  (S)-MALATE:NADP+ OXIDOREDUCTASE(OXALOACETATE-DECARBOXYLATING),substrate,C00149
R00216  (S)-MALATE:NADP+ OXIDOREDUCTASE(OXALOACETATE-DECARBOXYLATING),substrate,C00006
R00216  (S)-MALATE:NADP+ OXIDOREDUCTASE(OXALOACETATE-DECARBOXYLATING),product,C00022
R00216  (S)-MALATE:NADP+ OXIDOREDUCTASE(OXALOACETATE-DECARBOXYLATING),product,C00011
R00216  (S)-MALATE:NADP+ OXIDOREDUCTASE(OXALOACETATE-DECARBOXYLATING),product,C00005
R00216  (S)-MALATE:NADP+ OXIDOREDUCTASE(OXALOACETATE-DECARBOXYLATING),product,C00080
R00709,substrate,C00311
R00709,substrate,C00003
R00709,product,C00026
R00709,product,C00011
R00709,product,C00004
R00709,product,C00080
R00709  ISOCITRATE:NAD+ OXIDOREDUCTASE (DECARBOXYLATING),substrate,C00311
R00709  ISOCITRATE:NAD+ OXIDOREDUCTASE (DECARBOXYLATING),substrate,C00003
R00709  ISOCITRATE:NAD+ OXIDOREDUCTASE (DECARBOXYLATING),product,C00026
R00709  ISOCITRATE:NAD+ OXIDOREDUCTASE (DECARBOXYLATING),product,C00011
R00709  ISOCITRATE:NAD+ OXIDOREDUCTASE (DECARBOXYLATING),product,C00004
R00709  ISOCITRATE:NAD+ OXIDOREDUCTASE (DECARBOXYLATING),product,C00080
R00267,substrate,C00311
R00267,substrate,C00006
R00267,product,C00026
R00267,product,C00011
R00267,product,C00005
R00267,product,C00080
R00267  ISOCITRATE:NADP+ OXIDOREDUCTASE (DECARBOXYLATING),substrate,C00311
R00267  ISOCITRATE:NADP+ OXIDOREDUCTASE (DECARBOXYLATING),substrate,C00006
R00267  ISOCITRATE:NADP+ OXIDOREDUCTASE (DECARBOXYLATING),product,C00026
R00267  ISOCITRATE:NADP+ OXIDOREDUCTASE (DECARBOXYLATING),product,C00011
R00267  ISOCITRATE:NADP+ OXIDOREDUCTASE (DECARBOXYLATING),product,C00005
R00267  ISOCITRATE:NADP+ OXIDOREDUCTASE (DECARBOXYLATING),product,C00080
R00268,substrate,C05379
R00268,product,C00026
R00268,product,C00011
R00268  OXALOSUCCINATE CARBOXY-LYASE (2-OXOGLUTARATE-FORMING),substrate,C05379
R00268  OXALOSUCCINATE CARBOXY-LYASE (2-OXOGLUTARATE-FORMING),product,C00026
R00268  OXALOSUCCINATE CARBOXY-LYASE (2-OXOGLUTARATE-FORMING),product,C00011
R01899,substrate,C00311
R01899,substrate,C00006
R01899,product,C05379
R01899,product,C00005
R01899,product,C00080
R01899  ISOCITRATE:NADP+ OXIDOREDUCTASE,substrate,C00311
R01899  ISOCITRATE:NADP+ OXIDOREDUCTASE,substrate,C00006
R01899  ISOCITRATE:NADP+ OXIDOREDUCTASE,product,C05379
R01899  ISOCITRATE:NADP+ OXIDOREDUCTASE,product,C00005
R01899  ISOCITRATE:NADP+ OXIDOREDUCTASE,product,C00080
R01528,substrate,C00345
R01528,substrate,C00006
R01528,product,C00199
R01528,product,C00011
